Time_us,AccX_g,AccY_g,AccZ_g,GyroX_dps,GyroY_dps,GyroZ_dps
843309109.0,0.124512,0.082031,0.928955,-2.152672,-3.847328,-1.740458
843320972.0,0.112793,0.080566,0.958252,-2.221374,-4.358778,-1.801527
843332836.0,0.125,0.076172,0.940186,-2.160305,-4.854962,-1.862595
843344707.0,0.123779,0.067871,0.946777,-2.061069,-4.442748,-1.885496
843356574.0,0.126953,0.083984,0.950439,-2.122137,-4.015267,-1.816794
843368439.0,0.126221,0.077881,0.943848,-2.038168,-4.198473,-1.862595
843380310.0,0.123291,0.080811,0.959473,-1.931298,-4.129771,-1.89313
843392181.0,0.125977,0.078369,0.943115,-2.290076,-4.442748,-1.847328
843404044.0,0.130371,0.077148,0.952148,-2.038168,-3.770992,-1.847328
843415906.0,0.125,0.07666,0.949219,-2.129771,-4.221374,-1.961832
843427772.0,0.131348,0.076172,0.947754,-2.122137,-4.290076,-1.854962
843439642.0,0.128906,0.079346,0.947021,-2.038168,-3.763359,-1.923664
843451508.0,0.122803,0.083984,0.950195,-2.167939,-3.694656,-1.801527
843463375.0,0.113525,0.077393,0.951416,-2.206107,-4.152672,-1.89313
843475248.0,0.125,0.081055,0.940918,-1.839695,-4.38168,-1.938931
843487115.0,0.122314,0.082764,0.949219,-2.21374,-3.755725,-1.80916
843498975.0,0.125,0.071533,0.960205,-2.015267,-4.061069,-1.847328
843510839.0,0.130127,0.08374,0.952637,-1.931298,-4.442748,-1.954198
843522711.0,0.13623,0.085205,0.945801,-2.274809,-3.992366,-1.969466
843534574.0,0.114746,0.070068,0.947754,-2.152672,-3.458015,-1.748092
843546438.0,0.128906,0.083496,0.945801,-2.129771,-4.137404,-1.816794
843558313.0,0.12793,0.07251,0.950439,-2.137405,-4.885496,-1.938931
843570182.0,0.126465,0.076904,0.942627,-2.152672,-3.679389,-1.824427
843582047.0,0.124756,0.083984,0.956299,-2.0,-3.770992,-2.045802
843593904.0,0.124756,0.080078,0.937012,-1.954198,-4.664122,-1.977099
843605770.0,0.125732,0.070801,0.955322,-2.175573,-4.152672,-2.10687
843617643.0,0.13208,0.08667,0.956543,-2.343511,-3.70229,-1.694656
843629508.0,0.118896,0.080811,0.942383,-2.328244,-4.175572,-2.015267
843641376.0,0.130615,0.078125,0.949707,-2.0,-4.183206,-1.740458
843653248.0,0.121582,0.076416,0.946777,-2.183206,-4.160306,-1.78626
843665109.0,0.13501,0.072998,0.946777,-2.122137,-3.748092,-1.854962
843676972.0,0.119141,0.076904,0.956055,-2.015267,-3.816794,-1.931298
843688837.0,0.126953,0.080078,0.943359,-2.152672,-4.061069,-1.938931
843700707.0,0.131104,0.07666,0.944336,-2.183206,-3.755725,-1.824427
843712579.0,0.125,0.078125,0.95459,-2.21374,-3.984733,-1.923664
843724444.0,0.125732,0.087891,0.945312,-2.236641,-4.015267,-1.916031
843736314.0,0.132324,0.069092,0.946777,-2.061069,-4.503817,-1.793893
843748188.0,0.119385,0.084473,0.947021,-2.007634,-3.839695,-1.916031
843760048.0,0.129639,0.075439,0.955566,-2.007634,-3.824427,-1.931298
843771909.0,0.122803,0.078125,0.94751,-2.198473,-4.389313,-1.877863
843783776.0,0.12207,0.077637,0.945312,-2.221374,-3.816794,-1.877863
843795643.0,0.128662,0.081055,0.941895,-2.030534,-4.183206,-1.954198
843807510.0,0.125488,0.076904,0.942139,-2.091603,-4.21374,-1.78626
843819374.0,0.131104,0.088135,0.957275,-2.183206,-4.328244,-1.870229
843831249.0,0.118652,0.074707,0.954346,-2.114504,-4.343512,-2.045802
843843109.0,0.125244,0.075439,0.927002,-2.030534,-4.587786,-1.847328
843854970.0,0.127197,0.081055,0.960449,-2.045802,-3.580153,-1.847328
843866833.0,0.124268,0.07959,0.949707,-2.099237,-4.221374,-1.717557
843878706.0,0.127197,0.077393,0.944824,-2.259542,-4.671756,-1.977099
843890574.0,0.119141,0.080078,0.949707,-2.167939,-3.725191,-1.946565
843902438.0,0.123779,0.082764,0.957275,-2.068702,-4.465649,-1.900763
843914309.0,0.123779,0.074463,0.939697,-2.0,-3.763359,-1.870229
843926182.0,0.120361,0.075195,0.94873,-1.89313,-4.694656,-1.89313
843938047.0,0.123779,0.083496,0.952148,-2.007634,-4.183206,-1.862595
843949906.0,0.125,0.080322,0.944824,-2.083969,-3.931298,-1.89313
843961770.0,0.12207,0.078857,0.948975,-1.954198,-4.175572,-1.977099
843973643.0,0.127441,0.078125,0.946045,-2.129771,-4.274809,-1.847328
843985510.0,0.130615,0.079834,0.952148,-2.221374,-4.38168,-1.954198
843997375.0,0.119141,0.074707,0.95752,-2.206107,-3.778626,-1.938931
844009249.0,0.130615,0.084473,0.95874,-2.335878,-4.572519,-1.839695
844021118.0,0.130371,0.077881,0.959229,-2.022901,-4.496183,-1.916031
844032975.0,0.124756,0.081055,0.945801,-2.007634,-3.89313,-1.992366
844044838.0,0.123535,0.075439,0.94751,-1.931298,-4.38168,-1.862595
844056711.0,0.126953,0.076416,0.951416,-2.274809,-4.030534,-1.832061
844068579.0,0.126953,0.082275,0.952881,-2.167939,-4.282443,-1.885496
844080450.0,0.123535,0.079346,0.954346,-1.977099,-4.08397,-1.862595
844092319.0,0.129395,0.078125,0.944336,-2.076336,-3.839695,-1.80916
844104190.0,0.122803,0.084717,0.949219,-1.946565,-4.221374,-2.007634
844116053.0,0.120605,0.07959,0.952393,-2.038168,-4.167939,-1.908397
844127914.0,0.125977,0.070801,0.949219,-2.022901,-4.076336,-1.931298
844139779.0,0.121094,0.084473,0.950684,-1.847328,-4.129771,-1.870229
844151643.0,0.124512,0.079834,0.948486,-2.206107,-3.961832,-1.916031
844163508.0,0.126221,0.079834,0.950195,-2.137405,-4.061069,-1.816794
844175373.0,0.125488,0.08252,0.945801,-2.053435,-3.946565,-1.854962
844187248.0,0.125,0.085205,0.950928,-2.061069,-4.022901,-1.801527
844199109.0,0.121582,0.079834,0.940186,-2.19084,-4.068702,-1.908397
844210970.0,0.122559,0.090088,0.943848,-2.251908,-4.022901,-1.78626
844222833.0,0.128418,0.07373,0.948975,-1.969466,-4.282443,-1.847328
844234706.0,0.129883,0.084229,0.949463,-2.114504,-3.648855,-1.778626
844246574.0,0.126953,0.075439,0.946289,-2.129771,-4.061069,-1.908397
844258438.0,0.123535,0.08252,0.946777,-2.244275,-4.007634,-1.916031
844270313.0,0.12793,0.08374,0.944824,-2.053435,-3.80916,-1.908397
844282188.0,0.123779,0.083252,0.944336,-2.007634,-4.51145,-2.053435
844294048.0,0.116211,0.082275,0.941162,-2.099237,-3.946565,-1.854962
844305907.0,0.124512,0.070801,0.952881,-2.083969,-4.175572,-1.984733
844317771.0,0.114258,0.080566,0.941895,-1.916031,-4.053435,-1.923664
844329643.0,0.132324,0.073975,0.943604,-2.068702,-3.946565,-1.954198
844341507.0,0.124756,0.084961,0.942871,-2.160305,-3.89313,-1.885496
844353374.0,0.126709,0.080078,0.946045,-1.78626,-4.236641,-1.801527
844365246.0,0.123291,0.079102,0.941895,-2.10687,-4.320611,-1.847328
844377109.0,0.118652,0.083252,0.945557,-1.923664,-3.717557,-1.992366
844388973.0,0.122314,0.081543,0.958496,-2.10687,-4.045802,-1.763359
844400836.0,0.127686,0.07959,0.956787,-2.129771,-4.19084,-1.954198
844412707.0,0.126709,0.074951,0.942627,-2.091603,-3.946565,-2.007634
844424579.0,0.121582,0.084473,0.947266,-2.083969,-3.748092,-1.885496
844436447.0,0.119629,0.077881,0.949219,-2.030534,-4.0,-1.793893
844448317.0,0.121582,0.079346,0.955811,-2.312977,-4.038168,-1.824427
844460190.0,0.125732,0.074707,0.942383,-2.183206,-4.221374,-1.984733
844472057.0,0.13208,0.075928,0.943359,-2.022901,-4.251908,-1.954198
844483916.0,0.128418,0.080566,0.940918,-2.244275,-3.59542,-1.816794
844495781.0,0.12915,0.080811,0.952148,-2.068702,-4.045802,-1.847328
