Time_us,AccX_g,AccY_g,AccZ_g,GyroX_dps,GyroY_dps,GyroZ_dps
295978047,0.060303,0.076172,0.959229,-2.145038,-4.335878,-1.977099
295989907,0.055420,0.082764,0.955322,-2.213740,-4.175572,-1.900763
296001774,0.051514,0.076660,0.945068,-2.091603,-4.190840,-1.870229
296013640,0.062744,0.076172,0.960693,-2.190840,-4.198473,-1.816794
296025506,0.054199,0.082275,0.956787,-2.122137,-4.251908,-1.877863
296037372,0.048096,0.074463,0.958008,-2.061069,-4.030534,-1.679389
296049247,0.049072,0.083008,0.952637,-2.030534,-4.076336,-1.847328
296061113,0.058838,0.080811,0.952393,-1.977099,-4.458015,-1.854962
296072975,0.053711,0.074707,0.954346,-2.114504,-4.190840,-2.091603
296084836,0.052979,0.071045,0.953857,-2.236641,-3.885496,-1.832061
296096707,0.055420,0.081299,0.957275,-2.083969,-4.282443,-1.908397
296108572,0.057861,0.077393,0.958496,-1.961832,-4.053435,-1.946565
296120436,0.062012,0.075928,0.957031,-2.053435,-4.198473,-2.015267
296132308,0.056885,0.078613,0.949463,-2.229008,-3.801527,-1.908397
296144180,0.055664,0.077881,0.946777,-1.854962,-4.519084,-1.908397
296156045,0.051514,0.079346,0.957275,-2.106870,-4.167939,-2.000000
296167902,0.065186,0.085205,0.951172,-1.969466,-4.213740,-1.786260
296179768,0.055664,0.080322,0.961426,-1.893130,-4.251908,-2.030534
296191640,0.048340,0.079346,0.957520,-1.977099,-3.931298,-2.007634
296203505,0.049072,0.072021,0.959473,-2.145038,-4.580153,-1.824427
296215371,0.060303,0.070068,0.957031,-2.045802,-4.229008,-2.000000
296227240,0.058594,0.076660,0.955566,-2.045802,-4.106870,-2.000000
296239106,0.063232,0.077393,0.949219,-1.641221,-4.160306,-2.076336
296250968,0.055664,0.079346,0.958984,-2.015267,-4.328244,-1.893130
296262831,0.056885,0.077148,0.961182,-1.908397,-4.335878,-2.099237
296274703,0.047119,0.075439,0.967529,-1.969466,-3.961832,-2.007634
296286572,0.057861,0.074707,0.964111,-1.778626,-4.290076,-2.007634
296298437,0.056885,0.076416,0.954346,-1.885496,-4.152672,-2.045802
296310308,0.061523,0.078857,0.951416,-1.916031,-4.236641,-1.954198
296322179,0.050049,0.083252,0.949707,-1.832061,-4.122138,-1.984733
296334045,0.055176,0.077148,0.955566,-2.038168,-4.229008,-1.992366
296345905,0.051514,0.070801,0.952637,-1.961832,-4.366412,-2.000000
296357769,0.051025,0.074219,0.960693,-2.083969,-3.847328,-2.038168
296369641,0.056641,0.076416,0.952881,-1.954198,-4.267176,-2.129771
296381506,0.052002,0.078857,0.954346,-1.923664,-4.351145,-1.900763
296393372,0.049072,0.074219,0.954102,-1.946565,-4.015267,-2.083969
296405246,0.057617,0.079590,0.954590,-1.916031,-4.328244,-2.083969
296417107,0.055420,0.076660,0.959229,-1.862595,-4.320611,-1.839695
296428968,0.057373,0.073486,0.953125,-1.832061,-4.145038,-2.015267
296440831,0.046631,0.080078,0.950928,-1.870229,-4.236641,-1.793893
296452706,0.052002,0.079346,0.954834,-1.992366,-4.221374,-2.068702
296464572,0.051758,0.079590,0.959717,-1.893130,-4.427481,-2.068702
296476435,0.060303,0.081299,0.959717,-2.007634,-4.152672,-2.068702
296488308,0.054443,0.079346,0.954834,-1.969466,-4.190840,-1.893130
296500179,0.057129,0.082031,0.961670,-2.137405,-4.061069,-1.923664
296512045,0.058838,0.079590,0.950684,-1.984733,-4.244275,-1.900763
296523904,0.057373,0.076904,0.955566,-2.106870,-4.335878,-1.977099
296535771,0.055176,0.075684,0.945068,-2.198473,-4.183206,-2.000000
296547640,0.057129,0.071533,0.959717,-2.282443,-4.267176,-1.809160
296559508,0.058838,0.079834,0.958252,-2.152672,-4.160306,-1.923664
296571371,0.060791,0.075684,0.958496,-1.877863,-4.251908,-2.068702
296583243,0.055664,0.078857,0.952148,-1.870229,-4.282443,-1.992366
296595107,0.049805,0.075439,0.949707,-1.946565,-4.099236,-2.045802
296606968,0.052246,0.076904,0.959961,-1.870229,-4.328244,-1.908397
296618831,0.057373,0.082275,0.961182,-1.709924,-4.503817,-1.832061
296630704,0.055176,0.077393,0.948242,-1.801527,-3.839695,-2.145038
296642572,0.058838,0.083252,0.952637,-1.748092,-4.274809,-2.007634
296654437,0.050537,0.077637,0.955322,-1.778626,-4.648855,-1.923664
296666307,0.057373,0.074707,0.957031,-1.793893,-4.198473,-2.091603
296678179,0.056396,0.083496,0.955322,-1.923664,-4.175572,-2.068702
296690045,0.057129,0.074707,0.954346,-1.725191,-3.984733,-1.946565
296701904,0.056396,0.076172,0.946533,-2.122137,-4.458015,-1.832061
296713769,0.055908,0.081299,0.948975,-1.946565,-4.267176,-2.152672
296725640,0.048828,0.078369,0.954590,-1.832061,-4.213740,-2.000000
296737504,0.050293,0.085937,0.944824,-2.022901,-4.442748,-1.946565
296749370,0.056641,0.079346,0.958008,-2.213740,-4.061069,-2.076336
296761239,0.052490,0.080078,0.941650,-1.694656,-4.053435,-1.923664
296773107,0.057861,0.081543,0.955078,-2.099237,-4.290076,-2.175573
296784968,0.057129,0.080078,0.952148,-2.198473,-4.274809,-1.969466
296796831,0.062012,0.075928,0.955566,-1.984733,-4.091603,-2.122137
296808704,0.051270,0.077637,0.955078,-1.977099,-4.083970,-2.022901
296820572,0.055908,0.074219,0.954590,-2.045802,-4.198473,-1.916031
296832436,0.056396,0.078369,0.957520,-1.755725,-4.251908,-1.908397
296844308,0.057617,0.083984,0.954346,-1.954198,-4.068702,-2.000000
296856179,0.054199,0.081543,0.951660,-1.885496,-4.412214,-2.015267
296868042,0.065674,0.078857,0.961426,-1.847328,-4.259542,-1.977099
296879902,0.046387,0.081543,0.946777,-1.557252,-4.366412,-2.137405
296891768,0.062988,0.084961,0.947021,-1.931298,-4.526718,-1.900763
296903640,0.058350,0.081055,0.952148,-1.816794,-4.496183,-1.992366
296915505,0.054687,0.087402,0.960449,-2.167939,-3.824427,-2.083969
296927371,0.051758,0.079346,0.953369,-2.053435,-4.503817,-1.900763
296939243,0.057617,0.077148,0.956787,-2.145038,-4.511450,-1.900763
296951107,0.061523,0.080322,0.950684,-2.267176,-4.083970,-1.977099
296962968,0.053955,0.074707,0.959717,-2.007634,-3.908397,-1.916031
296974831,0.051758,0.079346,0.957764,-1.900763,-4.282443,-1.854962
296986705,0.058594,0.075684,0.943848,-2.076336,-4.465649,-1.870229
296998572,0.054932,0.074951,0.959229,-1.931298,-3.969466,-1.809160
297010436,0.053223,0.081787,0.952148,-2.007634,-3.954198,-1.816794
297022308,0.057861,0.080811,0.959717,-2.114504,-4.496183,-1.893130
297034179,0.061035,0.084717,0.953857,-2.099237,-3.977099,-1.923664
297046045,0.057129,0.077637,0.948242,-2.068702,-3.862595,-1.893130
297057904,0.054932,0.080078,0.959229,-2.022901,-4.351145,-2.000000
297069767,0.063965,0.079590,0.954346,-2.129771,-4.358778,-1.740458
297081640,0.051514,0.078125,0.959961,-2.038168,-3.755725,-1.809160
297093505,0.053467,0.078125,0.967041,-2.007634,-4.099236,-2.106870
297105370,0.052490,0.076172,0.958008,-2.015267,-4.465649,-2.068702
297117239,0.057373,0.079102,0.949951,-2.122137,-4.083970,-2.030534
297129107,0.058594,0.074951,0.957764,-2.053435,-3.923664,-1.946565
297140968,0.052979,0.075195,0.956055,-1.923664,-4.282443,-2.015267
297152831,0.049561,0.078369,0.957520,-1.832061,-4.526718,-1.900763
297164704,0.050293,0.079346,0.949219,-1.893130,-3.923664,-1.931298
297176571,0.057861,0.073242,0.959961,-1.931298,-4.114504,-1.938931
297188436,0.053467,0.076416,0.952637,-1.877863,-4.374046,-2.083969
297200311,0.052002,0.082031,0.952637,-1.862595,-4.328244,-1.984733
297212187,0.052979,0.083252,0.958008,-2.022901,-3.961832,-2.015267
297224046,0.050781,0.084473,0.953613,-1.816794,-4.152672,-1.938931
297235905,0.054443,0.082275,0.945068,-2.450382,-4.274809,-2.000000
297247769,0.061035,0.077637,0.962402,-2.129771,-4.083970,-1.923664
297259640,0.054199,0.081543,0.952393,-1.770992,-4.091603,-1.946565
297271506,0.052979,0.078369,0.951172,-2.061069,-4.213740,-2.061069
297283371,0.056885,0.072998,0.960937,-2.076336,-4.343512,-1.923664
297295242,0.054932,0.074219,0.963135,-2.053435,-3.992366,-1.877863
297307107,0.051270,0.079346,0.951416,-2.091603,-3.961832,-2.068702
297318967,0.054199,0.075439,0.947998,-1.908397,-4.442748,-2.030534
297330831,0.053223,0.077393,0.955078,-2.282443,-4.274809,-1.877863
297342704,0.057129,0.083984,0.958496,-2.251908,-3.969466,-1.801527
297354576,0.057373,0.074707,0.960449,-2.145038,-4.396946,-1.854962
297366442,0.057861,0.084473,0.948975,-2.106870,-4.190840,-1.763359
297378311,0.056641,0.080322,0.952148,-2.038168,-4.000000,-1.916031
297390186,0.051514,0.079834,0.952637,-2.015267,-4.190840,-1.717557
297402048,0.058105,0.083496,0.965820,-2.022901,-4.320611,-1.862595
297413908,0.053223,0.077881,0.955078,-2.229008,-4.236641,-1.816794
297425775,0.055664,0.077148,0.947266,-2.091603,-4.106870,-1.969466
297437647,0.056641,0.078857,0.953613,-2.167939,-4.305344,-2.061069
297449511,0.059814,0.074951,0.950195,-2.122137,-4.022901,-1.778626
297461374,0.059326,0.072754,0.950439,-1.992366,-4.183206,-1.931298
297473254,0.057129,0.080322,0.953857,-2.175573,-4.083970,-1.877863
297485116,0.054687,0.080566,0.947266,-2.137405,-4.290076,-1.984733
297496972,0.061523,0.078369,0.961914,-2.076336,-4.404580,-2.045802
297508836,0.060791,0.079102,0.948486,-2.091603,-4.183206,-2.076336
297520708,0.058594,0.080811,0.962402,-1.839695,-3.984733,-1.885496
297532576,0.053955,0.079346,0.963379,-2.099237,-4.366412,-1.870229
297544444,0.059082,0.078613,0.956055,-2.183206,-3.908397,-1.824427
297556315,0.062012,0.077148,0.951172,-2.091603,-4.198473,-2.030534
297568188,0.057129,0.071045,0.943848,-2.076336,-4.274809,-1.992366
297580047,0.058594,0.082031,0.958984,-2.129771,-4.167939,-1.984733
297591909,0.052490,0.080811,0.958252,-2.122137,-4.267176,-2.015267
297603776,0.051025,0.078857,0.952637,-1.793893,-4.412214,-2.167939
297615647,0.063965,0.073730,0.954834,-2.152672,-4.328244,-1.793893
297627510,0.058594,0.090820,0.951416,-1.732824,-3.984733,-2.099237
297639375,0.067627,0.080322,0.947266,-2.106870,-4.526718,-1.908397
297651247,0.055664,0.076172,0.973877,-2.374046,-4.305344,-1.786260
297663116,0.060791,0.072754,0.949951,-1.755725,-3.793893,-1.725191
297674976,0.052734,0.077637,0.948975,-1.992366,-4.160306,-1.725191
297686838,0.052490,0.075928,0.948975,-2.213740,-4.183206,-1.916031
297698714,0.053711,0.079346,0.958740,-1.786260,-4.183206,-1.786260
297710576,0.051270,0.083984,0.950195,-1.908397,-3.870229,-1.961832
297722442,0.049316,0.070312,0.951904,-2.160305,-4.053435,-1.755725
297734311,0.056641,0.075928,0.959229,-1.916031,-4.351145,-1.923664
297746188,0.062256,0.081787,0.950684,-2.343511,-4.183206,-1.854962
297758048,0.052002,0.074463,0.948975,-1.832061,-4.328244,-1.938931
297769908,0.057129,0.076172,0.947510,-2.068702,-4.351145,-1.923664
297781774,0.059326,0.074707,0.964355,-2.076336,-4.534351,-2.129771
297793640,0.061035,0.079590,0.956299,-1.854962,-4.389313,-2.091603
297805505,0.064697,0.083740,0.943848,-1.908397,-3.946565,-1.900763
297817372,0.055176,0.086182,0.956787,-2.450382,-4.083970,-1.969466
297829246,0.057373,0.071533,0.958252,-2.083969,-4.267176,-1.770992
297841113,0.052002,0.084961,0.957275,-1.793893,-4.137404,-2.007634
297852971,0.063721,0.083496,0.946045,-2.000000,-4.496183,-1.893130
297864832,0.053711,0.076904,0.961670,-2.381679,-4.045802,-1.847328
297876706,0.061523,0.079346,0.961426,-1.290076,-3.778626,-1.847328
297888572,0.054199,0.076172,0.947021,-2.267176,-3.625954,-2.198473
297900436,0.049805,0.078369,0.963135,-2.152672,-4.236641,-1.969466
297912307,0.069580,0.083984,0.955078,-2.015267,-4.251908,-1.870229
297924179,0.059570,0.084961,0.961182,-1.839695,-3.809160,-1.816794
297936045,0.051025,0.081055,0.953369,-2.259542,-3.824427,-1.816794
297947904,0.048340,0.072998,0.947754,-2.022901,-4.229008,-2.106870
297959769,0.064209,0.087646,0.957764,-2.251908,-4.748092,-1.938931
297971641,0.056885,0.078125,0.947754,-2.213740,-3.725191,-1.717557
297983505,0.053711,0.075684,0.962646,-2.381679,-3.755725,-1.793893
297995372,0.057129,0.072266,0.961182,-2.152672,-4.061069,-1.801527
298007246,0.060791,0.079834,0.946045,-2.022901,-4.458015,-1.908397
298019113,0.056641,0.085693,0.956299,-2.236641,-3.877863,-1.946565
298030973,0.052979,0.078613,0.969971,-2.251908,-4.366412,-1.969466
298042837,0.055908,0.080811,0.950928,-1.824427,-4.389313,-1.931298
298054713,0.054932,0.080811,0.958740,-2.061069,-3.694656,-1.793893
298066576,0.058105,0.075684,0.950928,-2.145038,-4.236641,-1.816794
298078442,0.057373,0.080811,0.949463,-1.931298,-4.396946,-1.984733
298090311,0.062988,0.079102,0.952637,-2.106870,-4.152672,-1.824427
298102188,0.054443,0.075439,0.949707,-1.984733,-3.748092,-1.885496
298114048,0.055908,0.077881,0.957520,-1.969466,-4.274809,-1.961832
298125907,0.068359,0.079834,0.948730,-2.129771,-4.114504,-1.954198
298137773,0.061279,0.079590,0.952148,-1.931298,-4.221374,-2.068702
298149641,0.059570,0.075195,0.957764,-2.083969,-3.977099,-1.977099
298161508,0.053711,0.078613,0.962891,-2.114504,-4.503817,-1.832061
298173372,0.058594,0.084229,0.957031,-2.030534,-4.129771,-2.000000
298185241,0.053711,0.081055,0.949951,-2.007634,-3.832061,-1.923664
298197106,0.051514,0.081787,0.949463,-2.259542,-4.290076,-1.770992
298208968,0.059570,0.079102,0.956787,-2.000000,-4.282443,-2.083969
298220831,0.055664,0.078613,0.956543,-1.977099,-4.175572,-1.977099
298232703,0.059326,0.080078,0.952393,-2.053435,-3.893130,-1.954198
298244572,0.058350,0.079834,0.951904,-1.862595,-4.465649,-1.923664
298256436,0.062256,0.080811,0.957031,-2.328244,-4.091603,-2.091603
298268307,0.057129,0.077881,0.959961,-1.908397,-3.900763,-2.000000
298280179,0.053711,0.073975,0.951416,-2.045802,-4.335878,-1.984733
298292042,0.060303,0.077393,0.955811,-1.671756,-4.328244,-1.893130
298303902,0.054199,0.081055,0.962402,-2.129771,-4.328244,-1.885496
298315769,0.058105,0.082031,0.958740,-2.015267,-4.038168,-2.022901
298327640,0.053223,0.080566,0.951416,-1.992366,-4.351145,-2.038168
298339507,0.060059,0.078613,0.958008,-2.114504,-3.992366,-1.839695
298351372,0.062988,0.080078,0.965332,-2.083969,-3.732824,-1.961832
298363254,0.054932,0.081787,0.956543,-2.206107,-4.274809,-1.984733
298375115,0.054687,0.084229,0.960937,-2.076336,-4.030534,-1.671756
298386972,0.050293,0.077637,0.944336,-1.824427,-4.007634,-1.908397
298398837,0.058838,0.072266,0.961182,-2.358779,-4.251908,-1.748092
298410708,0.055176,0.076904,0.950928,-2.083969,-3.847328,-1.793893
298422572,0.057373,0.084961,0.955322,-1.832061,-3.885496,-1.931298
298434435,0.051025,0.079590,0.950928,-2.916031,-4.129771,-1.885496
298446308,0.067139,0.082031,0.965820,-2.091603,-4.526718,-1.641221
298458179,0.055420,0.083740,0.942627,-2.427481,-3.694656,-1.709924
298470042,0.053223,0.071289,0.947754,-2.305344,-3.816794,-1.732824
298481904,0.057861,0.083252,0.971436,-2.328244,-4.694656,-1.709924
